tmp_script.js: line 407, col 17, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 407, col 37, 'spread operator' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 407, col 61, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 408, col 33, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 432, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 436, col 42, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 440, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 436, col 42, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (id, document)
tmp_script.js: line 448, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 449, col 56, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 450, col 56, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 451, col 64, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 452, col 60, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 453, col 62, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 454, col 60, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 455, col 62, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 456, col 58, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 457, col 58, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 458, col 62, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 459, col 58, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 460, col 65, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 461, col 61, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 464, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 465, col 35, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 466, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 470, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 471, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 472, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 473, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 474, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 475, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 476, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 477, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 478, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 480, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 481, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 482, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 484, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 485, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 486, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 487, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 489, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 503, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 504, col 31, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 511, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 519, col 31, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 520, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 524, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 525, col 31, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 526, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 530, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 539, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 541, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 544, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 549, col 29, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 558, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 559, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 559, col 46, 'default parameters' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 562, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 563, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 572, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 574, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 576, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 577, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 578, col 26, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 583, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 592, col 13, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 594, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 598, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 599, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 600, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 601, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 610, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 610, col 63, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 612, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 618, col 25, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
